simplified,pinyin,english_meaning,image_path,approved
一,yī,one,media/一_0.jpg,True
在,zài,"in, at, on, etc.",media/在_1.jpg,True
有,yǒu,have,media/有_2.jpg,True
个,gè,piece,media/个_3.jpg,True
我,wǒ,"I, me, ego, self",media/我_4.jpg,True
不,bù,non,media/不_5.jpg,True
这,zhè,now,media/这_6.jpg,True
他,tā,"he, she, it, they (referring to inanimate things in object position)",media/他_7.jpg,True
也,yě,also,media/也_8.jpg,True
就,jiù,then,media/就_9.jpg,True
人,rén,person,media/人_10.jpg,True
都,dōu,all,media/都_11.jpg,True
说,shuō,speak,media/说_12.jpg,True
而,ér,conj.: and yet,media/而_13.jpg,True
们,men,plural marker for personal pronouns or for nouns referring to people,media/们_14.jpg,True
你,nǐ,you,media/你_15.jpg,True
了,le,particle: indicating new situation or completed action,media/了_16.jpg,True
要,yào,want,media/要_17.jpg,True
会,huì,to be able,media/会_18.jpg,True
对,duì,correct,media/对_19.jpg,True
及,jí,to reach,media/及_20.jpg,True
和,hé,and,media/和_21.jpg,True
与,yǔ,and,media/与_22.jpg,True
以,yǐ,using,media/以_23.jpg,True
很,hěn,pretty,media/很_24.jpg,True
种,zhǒng,m.[kind],media/种_25.jpg,True
的,de,particle: emphasizing an action/situation,media/的_26.jpg,True
大,dà,great,media/大_27.jpg,True
能,néng,can or to be capable of,media/能_28.jpg,True
着,zhe,[aspect],media/着_29.jpg,True
她,tā,she,media/她_30.jpg,True
那,nà,that,media/那_31.jpg,True
上,shàng,"on, above",media/上_32.jpg,True
但,dàn,conj.: but,media/但_33.jpg,True
年,nián,year,media/年_34.jpg,True
还,hái,still,media/还_35.jpg,True
可以,kěyǐ,can,media/可以_36.jpg,True
最,zuì,most,media/最_37.jpg,True
自己,zìjǐ,lonesome,media/自己_38.jpg,True
为,wéi,by,media/为_39.jpg,True
来,lái,come,media/来_40.jpg,True
所,suǒ,that which,media/所_41.jpg,True
他们,tāmen,they,media/他们_42.jpg,True
两,liǎng,two,,False
各,gè,each,,False
可,kě,can,,False
或,huò,conj.: or,,False
好,hǎo,good,,False
等,děng,conj.: and so on,,False
又,yòu,again,,False
将,jiāng,be about to,,False
因为,yīnwèi,conj.: because,,False
于,yú,"in, at, to, from, out of, by",,False
由,yóu,from,,False
从,cóng,from,,False
更,gèng,more,,False
被,bèi,by,,False
才,cái,then and only then,,False
已,yǐ,already,,False
者,zhě,nominal suffix,,False
每,měi,every,,False
次,cì,order,,False
把,bǎ,indicating pre-verbal object as thing dealt with by the action,,False
三,sān,three,,False
什么,shénme,anything,,False
问题,wèntí,problem,,False
其,qí,its,,False
让,ràng,allow,,False
此,cǐ,this,,False
做,zuò,make,,False
再,zài,again,,False
所以,suǒyǐ,conj.: so,,False
只,zhǐ,only,,False
则,zé,then,,False
台湾,Táiwān,Taiwan,,False
却,què,however,,False
并,bìng,to be side by side,,False
位,wèi,location,,False
想,xiǎng,think,,False
去,qù,to go,,False
呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation,,False
学生,xuéshēng,academic,,False
表示,biǎoshì,demonstrate,,False
到,dào,up until,,False
公司,gōngsī,place of business,,False
如果,rúguǒ,conj.: if,,False
社会,shèhuì,community,,False
看,kàn,see,,False
小,xiǎo,small,,False
天,tiān,sky,,False
因此,yīncǐ,conj.: therefore,,False
新,xīn,new,,False
但是,dànshì,conj.: but,,False
它,tā,they (neologism for {1ta1}[3] [4]),,False
中,zhōng,center,,False
使,shǐ,rarefy,,False
工作,gōngzuò,work,,False
全,quán,all,,False
觉得,juéde,imagine,,False
使用,shǐyòng,use,,False
这些,zhèxiē,these,,False
里,lǐ,inside,,False
由于,yóuyú,conj.: owing/due/thanks to,,False
时候,shíhòu,day,,False
知道,zhīdào,tell,,False
这样,zhèyàng,"so, such, like this, this way",,False
认为,rènwéi,find,,False
时间,shíjiān,moment,,False
事,shì,responsibility,,False
过,guò,[aspect],,False
向,xiàng,"to, towards",,False
可能,kěnéng,probably,,False
中国,Zhōngguó,Cathay,,False
美国,Měiguó,House_of_Representatives,,False
几,jǐ,how many,,False
系统,xìtǒng,lineage,,False
政府,zhèngfǔ,sirkar,,False
大家,dàjiā,sundry,,False
国家,guójiā,sirkar,,False
许多,xǔduō,lot,,False
生活,shēnghuó,life,,False
跟,gēn,with,,False
已经,yǐjīng,already,,False
大学,dàxué,university,,False
研究,yánjiù,study,,False
因,yīn,conj.: because,,False
本,běn,this,,False
二,èr,two,,False
活动,huódòng,activity,,False
该,gāi,this,,False
世界,shìjiè,mundane,,False
应,yīng,should,,False
四,sì,four,,False
希望,xīwàng,hope,,False
方式,fāngshì,path,,False
内,nèi,inside,,False
项,xiàng,m.[general],,False
啊,ā,particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation,,False
下,xià,under (condition/fact etc.),,False
环境,huánjìng,circumambiency,,False
一些,yīxiē,some,,False
必须,bìxū,must,,False
文化,wénhuà,civilization,,False
高,gāo,tall,,False
孩子,háizi,kid,,False
没有,méiyǒu,not have,,False
不能,bùnéng,must/may/can not,,False
如,rú,according to,,False
开始,kāishǐ,begin,,False
元,yuán,m.[standard],,False
不同,bùtóng,different,,False
仍,réng,yet,,False
网路,wǎnglù,WWW,,False
日本,rìběn,Nippon,,False
用,yòng,with,,False
中心,zhōngxīn,center,,False
虽然,suīrán,conj.: though,,False
重要,zhòngyào,important,,False
地方,dìfāng,country,,False
进行,jìnxíng,be in progress,,False
关系,guānxì,relation,,False
市场,shìchǎng,bourse,,False
太,tài,excessively,,False
老师,lǎoshī,rabbi,,False
提供,tígōng,feed,,False
学校,xuéxiào,seminary,,False
应该,yīnggāi,should,,False
指出,zhǐchū,point,,False
经济,jīngjì,economy,,False
其他,qítā,others,,False
家,jiā,family,,False
发展,fāzhǎn,develop,,False
教育,jiàoyū,education,,False
成为,chéngwéi,find,,False
多,duō,many,,False
非常,fēicháng,extraordinary,,False
便,biàn,as early as,,False
方面,fāngmiàn,side,,False
很多,hěnduō,,,False
吃,chī,feed,,False
然后,ránhòu,therewith,,False
未,wèi,or not (at end of sentence),,False
发现,fāxiàn,find,,False
电脑,diànnǎo,electronic computer,,False
一样,yīyàng,same,,False
而且,érqiě,conj.: furthermore,,False
心,xīn,heart,,False
不过,búguò,conj.: but,,False
无法,wúfǎ,nohow,,False
企业,qǐyè,proposition,,False
正,zhèng,precisely,,False
服务,fúwù,be in the service of,,False
较,jiào,rather,,False
不会,búhuì,won't,,False
曾,céng,once,,False
吗,mā,particle: calling for agreement or disagreement,,False
空间,kōngjiān,elbow room,,False
看到,kàndào,view,,False
五,wǔ,five,,False
如何,rúhé,how,,False
国内,guónèi,interior (of country),,False
无,wú,not have,,False
对于,duìyú,in regard) to,,False
以及,yǐjí,conj.: as well as,,False
